LOCAL
1,2048, 82.197533%
2,2048, 85.870590%
2,4096, 86.647888%
2,8192, 86.989662%
2,16384, 87.057266%
2,32768, 87.057457%
2,65536, 87.057457%
TOURNAMENT
localHistorySize,globalPredictorSize,Correctness
2048,8192, 91.214111%
2048,16384, 92.020348%
2048,32768, 92.732643%
2048,65536, 93.297806%
2048,131072, 93.744041%
2048,262144, 94.095154%
2048,524288, 94.360809%
2048,1048576, 94.544403%
4096,16384, 92.247910%
4096,32768, 92.908279%
4096,65536, 93.442993%
4096,131072, 93.862274%
4096,262144, 94.198463%
4096,524288, 94.451492%
4096,1048576, 94.625404%
8192,32768, 92.990631%
8192,65536, 93.508675%
8192,131072, 93.916145%
8192,262144, 94.238647%
8192,524288, 94.486885%
8192,1048576, 94.658005%
16384,65536, 93.555222%
16384,131072, 93.946129%
16384,262144, 94.265060%
16384,524288, 94.509415%
16384,1048576, 94.677803%
32768,131072, 93.946205%
32768,262144, 94.265099%
32768,524288, 94.509422%
32768,1048576, 94.677818%

GSHARE
localHistorySize,globalPredictorSize,Correctness
2048,8192,100.000000%
2048,16384,100.000000%
2048,32768,100.000000%
2048,65536,100.000000%
2048,131072,100.000000%
2048,262144,100.000000%
2048,524288,100.000000%
2048,1048576,100.000000%
4096,16384,100.000000%
4096,32768,100.000000%
4096,65536,100.000000%
4096,131072,100.000000%
4096,262144,100.000000%
4096,524288,100.000000%
4096,1048576,100.000000%
8192,32768,100.000000%
8192,65536,100.000000%
8192,131072,100.000000%
8192,262144,100.000000%
8192,524288,100.000000%
8192,1048576,100.000000%
16384,65536,100.000000%
16384,131072,100.000000%
16384,262144,100.000000%
16384,524288,100.000000%
16384,1048576,100.000000%
32768,131072,100.000000%
32768,262144,100.000000%
32768,524288,100.000000%
32768,1048576,100.000000%
