LOCAL
1,2048, 82.169998%
2,2048, 84.669998%
2,4096, 84.680000%
2,8192, 84.759995%
2,16384, 84.739998%
2,32768, 84.729996%
2,65536, 84.729996%
TOURNAMENT
localHistorySize,globalPredictorSize,Correctness
2048,8192, 80.599998%
2048,16384, 80.510002%
2048,32768, 80.349998%
2048,65536, 80.269997%
2048,131072, 80.209999%
2048,262144, 80.150002%
2048,524288, 80.119995%
2048,1048576, 80.019997%
4096,16384, 80.639999%
4096,32768, 80.479996%
4096,65536, 80.400002%
4096,131072, 80.339996%
4096,262144, 80.279999%
4096,524288, 80.250000%
4096,1048576, 80.150002%
8192,32768, 80.479996%
8192,65536, 80.400002%
8192,131072, 80.349998%
8192,262144, 80.290001%
8192,524288, 80.260002%
8192,1048576, 80.159996%
16384,65536, 80.379997%
16384,131072, 80.330002%
16384,262144, 80.269997%
16384,524288, 80.239998%
16384,1048576, 80.139999%
32768,131072, 80.320000%
32768,262144, 80.260002%
32768,524288, 80.229996%
32768,1048576, 80.129997%

GSHARE
localHistorySize,globalPredictorSize,Correctness
2048,8192, 74.849998%
2048,16384, 74.220001%
2048,32768, 73.269997%
2048,65536, 72.750000%
2048,131072, 72.190002%
2048,262144, 71.480003%
2048,524288, 71.080002%
2048,1048576, 70.740005%
4096,16384, 74.220001%
4096,32768, 73.269997%
4096,65536, 72.750000%
4096,131072, 72.190002%
4096,262144, 71.480003%
4096,524288, 71.080002%
4096,1048576, 70.740005%
8192,32768, 73.269997%
8192,65536, 72.750000%
8192,131072, 72.190002%
8192,262144, 71.480003%
8192,524288, 71.080002%
8192,1048576, 70.740005%
16384,65536, 72.750000%
16384,131072, 72.190002%
16384,262144, 71.480003%
16384,524288, 71.080002%
16384,1048576, 70.740005%
32768,131072, 72.190002%
32768,262144, 71.480003%
32768,524288, 71.080002%
32768,1048576, 70.740005%
